"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2637","RT @punjabpcc: Today in the presence of PPCC Chief  @capt_amarinder Singer &amp; former #SAD  leader Hans Raj Hans joined Congress. https://t.c…",FALSE,0,NA,2016-02-20 12:38:25,FALSE,NA,"701023097353207808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sitaramlamba",49,TRUE,FALSE,NA,NA
"2638","@surfklutz Unfortunately the person he's telling this to fits the profile of people likely to be conned by JO. <ed><U+00A0><U+00BD><ed><U+00B8><U+00A9> #Sad",FALSE,6,"surfklutz",2016-02-20 12:37:00,FALSE,"701018948444278788","701022743098036224","1561525483","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Patti_Page",1,FALSE,FALSE,NA,NA
"2639","@fotoole @frankmcdonald60 @IrishTimesLife He supervised my M. Litt in TCD. #sad.",FALSE,0,"fotoole",2016-02-20 12:36:48,FALSE,"700906242345197568","701022691428438016","17340546","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BibiBaskin",0,FALSE,FALSE,NA,NA
"2640","A female deputy gets knocked down by the police, and no reactions by the feminist activists or organizations #FeminismInKosovo #sad #Kosovo",FALSE,0,NA,2016-02-20 12:34:55,FALSE,NA,"701022216650145793",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MergimBer",0,FALSE,FALSE,NA,NA
"2641","@SkyNews Already started with your biased staying in reporting again then? #Bryant @SkyNews bias #SAD",FALSE,0,"SkyNews",2016-02-20 12:32:49,FALSE,"701019674826432512","701021688083980288","7587032","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","Robert_J_McCall",1,FALSE,FALSE,NA,NA
"2642","@shannonnewsidenews Travelled through Roscommon last week and some people still suffering from flooding there #Sad https://t.co/IFXjcHpMCL",FALSE,0,NA,2016-02-20 12:29:01,FALSE,NA,"701020729903599618",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","niaoidhe",0,FALSE,FALSE,NA,NA
"2643","•our photo• #white #rad #indie #pretty #sad #song #stars #summer #softgrunge #dark #follow #grunge #hippie #hipster… https://t.co/tF0CUoSjqV",FALSE,1,NA,2016-02-20 12:28:53,FALSE,NA,"701020698064584704",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","DeezaSunglasses",0,FALSE,FALSE,NA,NA
"2644","I can hear fireworks but i don't see them ... #sad #life",FALSE,0,NA,2016-02-20 12:27:27,FALSE,NA,"701020337907957760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ru_ling",0,FALSE,FALSE,NA,NA
"2645","RT @mitchellvii: Sean Hannity: ""Ted Cruz is not a liar and I blame CNN for the Carson thing in Iowa...""

Sean, you are now a liar just as C…",FALSE,0,NA,2016-02-20 12:25:41,FALSE,NA,"701019893785710592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","crimson_i_m",94,TRUE,FALSE,NA,NA
"2646","RT @mitchellvii: Sean Hannity: ""Ted Cruz is not a liar and I blame CNN for the Carson thing in Iowa...""

Sean, you are now a liar just as C…",FALSE,0,NA,2016-02-20 12:25:22,FALSE,NA,"701019812055547904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kateyface88",94,TRUE,FALSE,NA,NA
"2647","RT @mitchellvii: Sean Hannity: ""Ted Cruz is not a liar and I blame CNN for the Carson thing in Iowa...""

Sean, you are now a liar just as C…",FALSE,0,NA,2016-02-20 12:23:12,FALSE,NA,"701019269371269120",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","peterwoods36",94,TRUE,FALSE,NA,NA
"2648","RT @MisterSalesman: RT @Brasilmagic https://t.co/I6LM6lhLZ0 AMERICA PAY ATTENTION
https://t.co/zRdUgfyJCB #Sad #Story #True",FALSE,0,NA,2016-02-20 12:20:13,FALSE,NA,"701018519153065984",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","JMDReid",4,TRUE,FALSE,NA,NA
"2649","RIP big fella @Austin_Rainey_2 great young man from a wonderful family. #sad",FALSE,2,NA,2016-02-20 12:19:54,FALSE,NA,"701018435686281216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dad2ago",0,FALSE,FALSE,NA,NA
"2650","RT @MisterSalesman: RT @Brasilmagic https://t.co/I6LM6lhLZ0 AMERICA PAY ATTENTION
https://t.co/zRdUgfyJCB #Sad #Story #True",FALSE,0,NA,2016-02-20 12:19:17,FALSE,NA,"701018283105984512",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","SexyReneeJordan",4,TRUE,FALSE,NA,NA
"2651","RT @MisterSalesman: RT @Brasilmagic https://t.co/I6LM6lhLZ0 AMERICA PAY ATTENTION
https://t.co/zRdUgfyJCB #Sad #Story #True",FALSE,0,NA,2016-02-20 12:19:17,FALSE,NA,"701018280815886337",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","TabooDeana",4,TRUE,FALSE,NA,NA
"2652","RT @MisterSalesman: RT @Brasilmagic https://t.co/I6LM6lhLZ0 AMERICA PAY ATTENTION
https://t.co/zRdUgfyJCB #Sad #Story #True",FALSE,0,NA,2016-02-20 12:19:16,FALSE,NA,"701018279322722304",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","NLPublications",4,TRUE,FALSE,NA,NA
"2653","RT @TheoriesOfMissF: #pencil #sketch #sad #eyes  by me https://t.co/LISt9izbFZ",FALSE,0,NA,2016-02-20 12:19:08,FALSE,NA,"701018245709615104",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","BoomerangTime",3,TRUE,FALSE,NA,NA
"2654","@Freeletics having issues with you iPhone app... subscription / renewal not working. Training program gone. Can't get it back #sad",FALSE,1,"Freeletics",2016-02-20 12:18:29,FALSE,NA,"701018083205505025","936976538","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JohnMStubbs",0,FALSE,FALSE,NA,NA
"2655","Now this is too much, #sad #UgandaDecides  https://t.co/rb3fPrR05B",FALSE,0,NA,2016-02-20 12:18:11,FALSE,NA,"701018005011099648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","josephinewachu",0,FALSE,FALSE,NA,NA
"2656","RT @Brasilmagic https://t.co/I6LM6lhLZ0 AMERICA PAY ATTENTION
https://t.co/zRdUgfyJCB #Sad #Story #True",FALSE,2,NA,2016-02-20 12:15:17,FALSE,NA,"701017276120702977",NA,"<a href=""http://www.tweetjukebox.com"" rel=""nofollow"">Tweet Jukebox</a>","MisterSalesman",4,FALSE,FALSE,NA,NA
"2657","The 1990s is the last generation knowing how to socialize while the 2000s kids socialize social medias. #sad #90skid #ima90skid #1994",FALSE,0,NA,2016-02-20 12:14:30,FALSE,NA,"701017080682786816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","darlinie",0,FALSE,FALSE,NA,NA
"2658","RT @leonkal: It's only in Uganda where a thief chases the owner they are stealing from.#sad  #UgandaDecides",FALSE,0,NA,2016-02-20 12:13:18,FALSE,NA,"701016774679130112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","deo_sekisonge",2,TRUE,FALSE,NA,NA
"2659","RT @mitchellvii: Sean Hannity: ""Ted Cruz is not a liar and I blame CNN for the Carson thing in Iowa...""

Sean, you are now a liar just as C…",FALSE,0,NA,2016-02-20 12:12:00,FALSE,NA,"701016449234636800",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","shelleybear66",94,TRUE,FALSE,NA,NA
"2660","Drew this at 3am this morning :p #drawing #blah #sad https://t.co/IP9Yr6Peu7",FALSE,1,NA,2016-02-20 12:10:14,FALSE,NA,"701016005749956608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","simmeremma",0,FALSE,FALSE,NA,NA
"2661","Ive just realised this weekend is the last time ill see these boys for a very long time :( #sad #nephews #love https://t.co/gNaLrt0Kzb",FALSE,20,NA,2016-02-20 12:07:50,FALSE,NA,"701015399886938112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KieWeeder",0,FALSE,FALSE,NA,NA
"2662","It's only in Uganda where a thief chases the owner they are stealing from.#sad  #UgandaDecides",FALSE,3,NA,2016-02-20 12:07:07,FALSE,NA,"701015219582193664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","leonkal",2,FALSE,FALSE,NA,NA
"2663","So I look at my team #mufc and ask, cant coaches please get injured too? Y not #lvg get injured or sick too? #sad",FALSE,0,NA,2016-02-20 12:05:21,FALSE,NA,"701014774033883136",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","niggabrawn",0,FALSE,FALSE,NA,NA
"2664","Now playing  :  Karen Marie Garrett - "" Vinot And The Sea Bird"" on

https://t.co/8LVDOL0B1j

#sadmusic #sadsong #sad",FALSE,0,NA,2016-02-20 12:04:24,FALSE,NA,"701014537676451840",NA,"<a href=""http://share.radionomy.com"" rel=""nofollow"">Share.Radionomy.com</a>","SadPianoMusic",0,FALSE,FALSE,NA,NA
"2665","RT @mitchellvii: Sean Hannity: ""Ted Cruz is not a liar and I blame CNN for the Carson thing in Iowa...""

Sean, you are now a liar just as C…",FALSE,0,NA,2016-02-20 12:03:19,FALSE,NA,"701014264794976256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","satirist_indian",94,TRUE,FALSE,NA,NA
"2666","RT @giulianeculaie: ""She is a beautiful disaster"" My edit    #effy #skins #sad #depression #depressed ... (Vine by Nevermind.this) https://…",FALSE,0,NA,2016-02-20 12:02:41,FALSE,NA,"701014103163281408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","harlssxo",2,TRUE,FALSE,NA,NA
"2667","when going to big tesco is your only plan for the weekend #sad",FALSE,2,NA,2016-02-20 12:01:34,FALSE,NA,"701013825647153152",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Nim_Wardrop",0,FALSE,FALSE,NA,NA
"2668","This is why the #loss of a #loved one can inspire you to get #happy rather than #sad https://t.co/0rmcHMHkwI #sadness #grief #healing #moms",FALSE,0,NA,2016-02-20 11:58:27,FALSE,NA,"701013039999352832",NA,"<a href=""https://smqueue.com"" rel=""nofollow"">smqueue</a>","zarstardesigns",0,FALSE,FALSE,NA,NA
"2669","14 Slaughtered(#Money #Greed Runs @tim_cook=#Heros Gave ALL4 #Freedom)#APPLE Wont Giv #INTEL 2 @FBI=2Save Lives=#SAD https://t.co/byTmJb5nIk",FALSE,0,NA,2016-02-20 11:55:14,FALSE,NA,"701012232004448256",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AutoValsarrie",0,FALSE,FALSE,NA,NA
"2670","That feeling when you changed the parts on your board but it’s still snowing outside :( #sad @boostedboard #longboard #skatelife",FALSE,0,NA,2016-02-20 11:54:22,FALSE,NA,"701012010255962113",NA,"<a href=""http://www.apple.com/"" rel=""nofollow"">OS X</a>","Prexide",0,FALSE,FALSE,NA,NA
"2671","@lajeelovesyou_ wasn't even decent then smh #Sad",FALSE,0,"lajeelovesyou_",2016-02-20 11:52:38,FALSE,"700946890758758400","701011577798062080","2377237682","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ayeo_Gorgeous",0,FALSE,FALSE,NA,NA
"2672","@KhalidHamdan0  I talk to an app in Chinese and it answers me back in Italian, the heights to which we have reached Khaled.#Sad #technology",FALSE,1,"KhalidHamdan0",2016-02-20 11:52:24,FALSE,"701009746682318849","701011518884696065","143136451","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Tunnelbreeze",0,FALSE,FALSE,NA,NA
"2673","RT @amansstomach: @TheSilvaLining  Get a life    #Sad #NoMates #MummiesBoy  <ed><U+00A0><U+00BD><ed><U+00B0><U+009E>",FALSE,0,NA,2016-02-20 11:51:13,FALSE,NA,"701011220455940096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MirkoMasella",2,TRUE,FALSE,NA,NA
"2674","Sexual Arousal Disorder: 5 secrets everyone needs to know https://t.co/lf716DH1qz #sad @KettleMag https://t.co/v3UWXsXqRv",FALSE,1,NA,2016-02-20 11:48:55,FALSE,NA,"701010642493288448",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","shawnclark713",0,FALSE,FALSE,NA,NA
"2675","RT @mitchellvii: Sean Hannity: ""Ted Cruz is not a liar and I blame CNN for the Carson thing in Iowa...""

Sean, you are now a liar just as C…",FALSE,0,NA,2016-02-20 11:48:22,FALSE,NA,"701010500079869952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlphaMaleWorld",94,TRUE,FALSE,NA,NA
"2676","<ed><U+00A0><U+00BD><ed><U+00B8><U+0094> #Sad #Health NIAID Study Finds Current Cambodia Malaria Treatment Fails https://t.co/zfCsmposEI https://t.co/UV0lK0wExB",FALSE,0,NA,2016-02-20 11:48:03,FALSE,NA,"701010421759651840",NA,"<a href=""http://www.myeffecto.com"" rel=""nofollow"">ebuzzhealth</a>","HealthEffecto",0,FALSE,FALSE,NA,NA
"2677","@OrientNewsEn why are hospitals being targeted. Why civilians being killed? Is this the way to win a war, kill all the people??? #Syria #sad",FALSE,0,"OrientNewsEn",2016-02-20 11:47:26,FALSE,"700809855049797632","701010265773580288","3240945782","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kayrmn",0,FALSE,FALSE,NA,NA
"2678","And the mainstream media and people put such people on their head.. #Sad #India  https://t.co/DIszXF4zZ4",FALSE,0,NA,2016-02-20 11:47:08,FALSE,NA,"701010190808645633",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","manojchanchawat",0,FALSE,FALSE,NA,NA
"2679","@anathidludlu as from last friday but am not so happy with the idea plus the time is less #saD",FALSE,0,"AnathiDludlu",2016-02-20 11:46:47,FALSE,"700970083930218497","701010103172993025","3382583739","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","munangie",1,FALSE,FALSE,NA,NA
"2680","RT @punjabpcc: Today in the presence of PPCC Chief  @capt_amarinder Singer &amp; former #SAD  leader Hans Raj Hans joined Congress. https://t.c…",FALSE,0,NA,2016-02-20 11:44:53,FALSE,NA,"701009626750291968",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","amsabri7",49,TRUE,FALSE,NA,NA
"2681",":( lil cuzzies not coming anymore..... one is poorly... #sad",FALSE,0,NA,2016-02-20 11:43:19,FALSE,NA,"701009232968212480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","xxmaryiamxx",0,FALSE,FALSE,NA,NA
"2682","It really hurts losing a best friend. #sad",FALSE,0,NA,2016-02-20 11:39:47,FALSE,NA,"701008340478992385",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Quinangnaq14",0,FALSE,FALSE,NA,NA
"2683","RT @lukebarnes0511: @GeorgeRacketDon @keithracketlon can you guys Periscope any of the matches for a poor guy missing out on the action due…",FALSE,0,NA,2016-02-20 11:39:25,FALSE,NA,"701008249668169730",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","keithracketlon",2,TRUE,FALSE,NA,NA
"2684","RT @mitchellvii: Sean Hannity: ""Ted Cruz is not a liar and I blame CNN for the Carson thing in Iowa...""

Sean, you are now a liar just as C…",FALSE,0,NA,2016-02-20 11:39:15,FALSE,NA,"701008208383647745",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","VajRaa",94,TRUE,FALSE,NA,NA
"2685","RT @punjabpcc: Today in the presence of PPCC Chief  @capt_amarinder Singer &amp; former #SAD  leader Hans Raj Hans joined Congress. https://t.c…",FALSE,0,NA,2016-02-20 11:37:13,FALSE,NA,"701007697278214144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","764706",49,TRUE,FALSE,NA,NA
"2686","RT SecretXposed: Single Life Vs. Married Life https://t.co/mbJFMpzkHz https://t.co/EblX5I7ZXj #sad #Motivation",FALSE,0,NA,2016-02-20 11:35:50,FALSE,NA,"701007346131193858",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","VivekMotivatesU",0,FALSE,FALSE,NA,NA
"2687","RT LivelyPics: Don't let worry control you. #sad #Motivation",FALSE,0,NA,2016-02-20 11:35:49,FALSE,NA,"701007345137152002",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","VivekMotivatesU",0,FALSE,FALSE,NA,NA
"2688","RT LivelyPics: Your value doesn't decrease based on someone's inability to see your worth. #sad #Motivation",FALSE,0,NA,2016-02-20 11:35:49,FALSE,NA,"701007343283212289",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","VivekMotivatesU",0,FALSE,FALSE,NA,NA
"2689","RT @Vashosr: @Meenatishaq1 #Sad Face #Hungry",FALSE,0,NA,2016-02-20 11:34:35,FALSE,NA,"701007033303228416",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","Meenatishaq1",1,TRUE,FALSE,NA,NA
"2690","RT @LouiJover: art - cartoon -thought ''DEPRESSED'' #nolaughingmatter #sad #depression #blue #down https://t.co/awfunKM5k0 https://t.co/RK7…",FALSE,0,NA,2016-02-20 11:33:10,FALSE,NA,"701006676044992512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LoriLorij4444",1,TRUE,FALSE,NA,NA
"2691","RT @mitchellvii: Sean Hannity: ""Ted Cruz is not a liar and I blame CNN for the Carson thing in Iowa...""

Sean, you are now a liar just as C…",FALSE,0,NA,2016-02-20 11:32:11,FALSE,NA,"701006427494731776",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TreeFarmer812",94,TRUE,FALSE,NA,NA
"2692","Alone girl

#adult #alone #asia #bright #cloud #girl #loneliness #lonely #women #only #sad #sea #shadow #sunset https://t.co/FZeirc8E5g",FALSE,1,NA,2016-02-20 11:31:15,FALSE,NA,"701006193137876992",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NPStudio_BKK",0,FALSE,FALSE,NA,NA
"2693","RT @mitchellvii: Sean Hannity: ""Ted Cruz is not a liar and I blame CNN for the Carson thing in Iowa...""

Sean, you are now a liar just as C…",FALSE,0,NA,2016-02-20 11:29:10,FALSE,NA,"701005669479092224",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KReady997",94,TRUE,FALSE,NA,NA
"2694","Leaving for airport...
#Goa #LeavingGoa #Sad https://t.co/72mGA4zX0Y",FALSE,0,NA,2016-02-20 11:28:12,FALSE,NA,"701005425005690881",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","DragonmiteDD",0,FALSE,FALSE,NA,NA
"2695","Still at point A <ed><U+00A0><U+00BD><ed><U+00B8><U+0092> #sad",FALSE,0,NA,2016-02-20 11:27:46,FALSE,NA,"701005318231298048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","detroitberry",0,FALSE,FALSE,NA,NA
"2696","RT @HTPunjab: Sufi singer, former #SAD leader Hans Raj Hans joins #Congress https://t.co/Aj3DQeTp5M https://t.co/u9YPYDrasM",FALSE,0,NA,2016-02-20 11:27:31,FALSE,NA,"701005256587513856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","iamajaypalsingh",13,TRUE,FALSE,NA,NA
"2697","RT @mitchellvii: Sean Hannity: ""Ted Cruz is not a liar and I blame CNN for the Carson thing in Iowa...""

Sean, you are now a liar just as C…",FALSE,0,NA,2016-02-20 11:27:06,FALSE,NA,"701005148454330368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","belllabooo13",94,TRUE,FALSE,NA,NA
"2698","RT @punjabpcc: Today in the presence of PPCC Chief  @capt_amarinder Singer &amp; former #SAD  leader Hans Raj Hans joined Congress. https://t.c…",FALSE,0,NA,2016-02-20 11:26:28,FALSE,NA,"701004988978319360",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RanjitpalChhina",49,TRUE,FALSE,NA,NA
